BROOK-HQ	Headquarters	Brooks County Library
PMRLS-EXT	Extension Services	Pine Mountain Regional Library
RML-MAIN	Roddenbery Memorial Library	Roddenbery Memorial Library
SRL-AMBR	Ambrose Public Library	Satilla Regional Library
SRL-BKMO	Bookmobile	Satilla Regional Library
SRL-BROX	Broxton Public Library	Satilla Regional Library
SRL-DOUG	Douglas-Coffee County Library	Satilla Regional Library
SRL-JDHAZ	Hazlehurst-Jeff Davis Branch	Satilla Regional Library
SRL-NICH	Nicholls Public Library	Satilla Regional Library
SRL-PEAR	Pearson Public Library	Satilla Regional Library
SRL-WILLA	Willacoochee Public Library	Satilla Regional Library
SJRLS-SCL	Screven County Library	Screven-Jenkins Regional Library
SJRLS-JCML	Jenkins County Memorial Library	Screven-Jenkins Regional Library
SJRLS-BKM	Bookmobile	Screven-Jenkins Regional Library
SJRLS-JCES	Jenkins County Elementary School	Screven-Jenkins Regional Library
TRRL-SSI	St. Simons Library	Three Rivers Regional Library
SWGRL-DEC	Decatur County Public Library	Southwest Georgia Regional Library
SWGRL-BKM	Bookmobile	Southwest Georgia Regional Library
SWGRL-SEM	Seminole Public Library	Southwest Georgia Regional Library
SWGRL-MIL	Miller County Public Library	Southwest Georgia Regional Library
ARL-WAT	Watkinsville/Oconee County Library	Athens Regional Library
ARL-BOG	Bogart Library	Athens Regional Library
ARL-LEX	Lexington/Oglethorpe County Library	Athens Regional Library
ARL-DAN	Danielsville/Madison County Library	Athens Regional Library
ARL-WINT	Winterville Library	Athens Regional Library
ARL-LAV	Lavonia Carnegie Library	Athens Regional Library
ARL-ROY	Royston Library	Athens Regional Library
URRLS-GR	Greene County Public Library	Uncle Remus Regional Library
URRLS-HA	Hancock County Public Library	Uncle Remus Regional Library
URRLS-JA	Jasper County Public Library	Uncle Remus Regional Library
URRLS-MA	Morgan County Library	Uncle Remus Regional Library
URRLS-MR	Monroe-Walton County Library	Uncle Remus Regional Library
URRLS-OK	O'Kelly Memorial Library	Uncle Remus Regional Library
URRLS-PU	Putnam County Public Library	Uncle Remus Regional Library
URRLS-SC	Stanton Memorial Library	Uncle Remus Regional Library
OHOOP-LADS	Ladson Genealogical Library	Ohoopee Regional Library
ARL-ENSAT	Sandy Creek ENSAT Resource Ctr.	Athens Regional Library
ARL-LYNDON	Lyndon House Art Resource Ctr.	Athens Regional Library
ARL-BKM	Bookmobile	Athens Regional Library
ARL-EAST	East Athens Community Resource Ctr.	Athens Regional Library
ARL-LAY	Lay Park Community Resource Ctr.	Athens Regional Library
BTRL-MWL	Mary Willis Library	Bartram Trail Regional Library
BTRL-MCD	Thomson-McDuffie County Library	Bartram Trail Regional Library
BTRL-TCL	Taliaferro County Library	Bartram Trail Regional Library
BTRL-BKM	Bookmobile	Bartram Trail Regional Library
CLAYTN-HQS	Headquarters Library	Clayton County Library System
CLAYTN-FOR	Forest Park Branch	Clayton County Library System
CLAYTN-JON	Jonesboro Branch	Clayton County Library System
CLAYTN-LOV	Lovejoy Branch (projected)	Clayton County Library System
CLAYTN-MOR	Morrow Branch	Clayton County Library System
CLAYTN-RIV	Riverdale Branch	Clayton County Library System
CPRL-A	Victoria Evans Memorial Library	Coastal Plain Regional Library
CPRL-B	Carrie Dorsey Perry Memorial Library	Coastal Plain Regional Library
CPRL-C	Cook County Library	Coastal Plain Regional Library
CPRL-L	Irwin County Library	Coastal Plain Regional Library
CPRL-R	Headquarters Library	Coastal Plain Regional Library
CPRL-T	Tifton-Tift County Public Library	Coastal Plain Regional Library
CPRL-BKM	Bookmobile	Coastal Plain Regional Library
DCPL-CEN	Central Branch	Dougherty County Public Library
DCPL-NW	Northwest Branch	Dougherty County Public Library
DCPL-TAL	Tallulah Branch	Dougherty County Public Library
DCPL-WT	Westtown Branch	Dougherty County Public Library
DCPL-SS	Southside Branch	Dougherty County Public Library
ECGR-MAIN	Augusta-Richmond Co. Public Lib.	East Central Georgia Regional Library
ECGR-AVTBC	Audio-Visual/Talking Book Center	East Central Georgia Regional Library
ECGR-APPBY	Appleby Branch Library	East Central Georgia Regional Library
ECGR-FRMAN	Friedman Branch Library	East Central Georgia Regional Library
ECGR-MXWLL	Maxwell Branch Library	East Central Georgia Regional Library
ECGR-WALLC	Wallace Branch Library	East Central Georgia Regional Library
ECGR-DIAML	 Diamond Lakes Branch Library	East Central Georgia Regional Library
ECGR-BKM	Bookmobile	East Central Georgia Regional Library
ECGR-BURKE	Burke County Library, Waynesboro	East Central Georgia Regional Library
ECGR-MIDVL	Midville Branch Library	East Central Georgia Regional Library
ECGR-SRDIS	Sardis Branch Library	East Central Georgia Regional Library
ECGR-CCO	Columbia County Library	East Central Georgia Regional Library
ECGR-HARLM	Harlem Branch library	East Central Georgia Regional Library
ECGR-EUCHE	Euchee Creek Library	East Central Georgia Regional Library
ECGR-WARRN	Warren County Library	East Central Georgia Regional Library
ECGR-LINCN	Lincoln County Library	East Central Georgia Regional Library
OCRL-GIBSN	Glascock County Library	Oconee Regional Library
ECPL-ECPL	Elbert County Public Library	Elbert County Public Library
ECPL-BWMN	Bowman Branch	Elbert County Public Library
ECPL-BKM	Bookmobile	Elbert County Public Library
HALL-BPL	Blackshear Place Branch	Hall County Library System
HALL-CL	Clermont Branch	Hall County Library System
HALL-EH	East Hall and Special Needs Library	Hall County Library System
HALL-GVL	Headquarters Branch	Hall County Library System
HALL-MV	Murrayville Branch	Hall County Library System
NCLS-COVTN	Newton County Library hdqtrs.	Newton County Library System
OCRL-WRIGH	Johnson County Library	Oconee Regional Library
OCRL-DUBLN	Laurens County Library	Oconee Regional Library
OCRL-SANDR	Rosa M. Tarbutton Memorial Library	Oconee Regional Library
OCRL-SOPER	Treutlen County Library	Oconee Regional Library
STATELIB-L	Ga. State Lib. Collection	Office of Public Library Services
PIED-TAL	Talmo Public Library	Piedmont Regional Library System
STATELIB-B	Ga. State Lib. For the Blind	Office of Public Library Services
OKRL-CLNCH	Clinch County Public Library	Okefenokee Regional Library System
OKRL-BACON	Alma-Bacon County Public Library	Okefenokee Regional Library System
ARL-PWOODS	Pinewoods North Community Learning Center	Athens Regional Library
OKRL-BLMEM	Blackshear Memorial Library	Okefenokee Regional Library System
OKRL-APPL	Appling County Public Library	Okefenokee Regional Library System
OKRL-WWC	Waycross-Ware Co. Public Lib.	Okefenokee Regional Library System
OKRL-BKM	Bookmobile	Okefenokee Regional Library System
SHRL-RM	Rome Branch	Sara Hightower Regional Library
SHRL-CS	Cave Spring Branch	Sara Hightower Regional Library
SHRL-RK	Rockmart Branch	Sara Hightower Regional Library
SHRL-CD	Cedartown Branch	Sara Hightower Regional Library
SHRL-BK	Outreach Collection	Sara Hightower Regional Library
STRL-SBORO	Headquarters-Statesboro	Statesboro Regional Library
STRL-METT	L.C. Anderson Memorial Library	Statesboro Regional Library
STRL-PEMB	Bryan County Library - Pembroke	Statesboro Regional Library
